,dim,dim_var,J,Q,K,uplift_ratio,true_estimate,true_stderr,DIM Bias
0,-0.09121261014354076,0.43934352143359234,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
1,-0.089461208059879,0.4076746757580598,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
2,0.09720980635359538,0.4477757061675389,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
3,0.006393684883169493,0.43093203253957746,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
4,0.09910756590068787,0.4309717566070976,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
5,-0.07354609689048497,0.4147760653252532,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
6,0.15348009701200738,0.45708738381488734,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
7,0.05845226051358221,0.4105313298507554,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
8,0.08217876732792595,0.42825747514793433,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
9,0.009386347945043338,0.421493831677885,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
10,-0.009993969521244983,0.41417015266147583,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
11,-0.04125080380814028,0.4192002277675819,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
12,0.11848150556952897,0.4587729969101225,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
13,0.051786430654408244,0.4080972373300208,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
14,-0.07139652559570553,0.37577614622207234,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
15,0.05231940222333098,0.43925409471365856,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
16,0.047499097081596164,0.43353896830277533,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
17,0.11809765606247619,0.42303878988235766,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
18,0.06655011726020976,0.481108714496959,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
19,0.11331901809065148,0.4033576740172158,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
20,0.1412127358772428,0.4270456907949332,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
21,0.005262837428213318,0.41013530352297134,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
22,0.10310291266980809,0.43930750978161415,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
23,0.08094030236611349,0.4246741800857995,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
24,0.007546548839777678,0.4275289406757391,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
25,0.09028004914743781,0.39894019097249106,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
26,0.02670134162904214,0.4171627137727334,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
27,0.0652387272978725,0.4481731444387457,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
28,0.09931846422967089,0.4492066072926362,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
29,0.11499355681030532,0.46502433608777466,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
30,0.1406892250758972,0.4524459498201592,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
31,0.11232321816264812,0.4122814029913777,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
32,-0.04660423823944004,0.43800296907293146,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
33,-0.004881777874533033,0.41585760897847435,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
34,0.1445235578638916,0.4515905503364249,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
35,-0.06990308829208208,0.42081378877145,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
36,0.07916057176157143,0.4299663147048619,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
37,0.08689864192131891,0.44664057172417837,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
38,0.10870859219980539,0.4586980325580728,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
39,0.11152765591371994,0.4455954833324466,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
40,0.1427373373242598,0.41853726223183507,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
41,-0.09273999767781038,0.4172063963734737,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
42,-0.04945852786217653,0.43026413413334713,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
43,0.020019239160905644,0.40899386035957175,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
44,0.10945096103405272,0.44811210232522203,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
45,0.029992534767780188,0.4473598330911857,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
46,0.07093069172075317,0.4172273549032468,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
47,0.09651235847647816,0.4057768094612785,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
48,0.12373217382003476,0.41965920720153005,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
49,0.09115680596545128,0.42937614704396976,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
50,0.019375712909335263,0.40213655169265405,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
51,0.02041463884757344,0.44041050067739923,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
52,0.00955262002403967,0.3921677993785021,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
53,0.1576107827400205,0.4409640665473445,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
54,-0.07528872790808039,0.40620040926931833,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
55,0.11831958506874218,0.42957857865501187,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
56,0.18500986267212022,0.436877287229451,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
57,0.10456846786589191,0.45326753428483746,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
58,0.021264422933940152,0.428060106132407,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
59,0.10407451462473577,0.39726912256449065,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
60,0.1463586669959896,0.45748867845544117,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
61,-0.10033912658540278,0.4002226299753101,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
62,0.21977331449639237,0.4940804273413752,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
63,0.10596920932322512,0.42837157457687,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
64,0.10392862152681076,0.4495217822812507,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
65,0.04789749543081212,0.4028918850714854,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
66,0.11206679591281876,0.4289568559059849,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
67,0.113839157143303,0.44015989587980264,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
68,0.001649892496413563,0.40624391316700303,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
69,0.03326546116668494,0.41893711412558693,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
70,0.09577140861533756,0.4175017000360553,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
71,0.03589310375430077,0.4115224410664349,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
72,0.10199595671735645,0.47447224408331734,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
73,0.024836702212991613,0.4326907747564518,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
74,0.06558281525275422,0.4209031198262002,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
75,0.03869496888400237,0.43603642798907527,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
76,0.16554819729188058,0.4512211097452643,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
77,-0.005402635376672182,0.4480086318470977,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
78,0.07217440535317832,0.4297818335463725,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
79,-0.0036795313862262313,0.4209430756358876,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
80,0.050564006825669194,0.405352317143006,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
81,0.0808569399330259,0.45273254390445183,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
82,0.03631323788042917,0.3975185518462099,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
83,0.035325002195511934,0.39892309645408247,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
84,0.05729705234769983,0.40285887094105055,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
85,0.018119068417102313,0.4021800360578426,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
86,0.19783814053524162,0.43858671683755696,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
87,0.0344942392147658,0.4008691834245118,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
88,0.03497894254660139,0.42445568888797697,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
89,0.052631382589589104,0.43798485215140903,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
90,0.055714239141612554,0.3948597980327626,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
91,0.0443750074298741,0.41276055150619817,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
92,0.09832033021919417,0.42739780622084433,500,1000,3,0.5,0.008938829626861766,0.0011975102366380565,Positive Bias
