,debias_point,debias_var,dim,dim_var,undebias_point,J,Q,K
0,-0.005520117811620914,1.546915559116857,-0.3449026296280775,0.2372683735255639,0.009654544957589552,50,1000,5
1,0.04155796032986392,1.805323307868444,0.2208637487971128,0.22953413175819473,0.05639539014708766,50,1000,5
2,0.018873135585722612,1.9740284174496583,0.6401240689100476,0.24063369782657587,-0.016953902224432826,50,1000,5
3,0.020778050629441627,1.8596813487227617,-0.13918346186720543,0.2206241562713394,0.027250172970062787,50,1000,5
4,-0.024921951290910377,1.9972674402173314,-0.0714331460152593,0.24756326313684834,-0.029851962941211785,50,1000,5
5,-0.06662818096351579,1.962818232914979,-0.034650105830426714,0.21269553583714043,-0.053430578857010004,50,1000,5
6,0.04729735827106038,2.1532793877265832,-0.07789067394633875,0.23591946766689129,0.020493407476128028,50,1000,5
7,0.015062571884273448,1.7198145914083376,0.054810886425103345,0.2512451212359323,0.046037986819597164,50,1000,5
8,0.012418813965221378,1.9156886473916797,-0.1864277790575768,0.2509064817356249,0.06462326089874605,50,1000,5
9,0.04794755669627624,2.1352307271176687,-0.21191705668980987,0.2448771579889337,-0.04894168963851886,50,1000,5
10,-0.10466005257976839,1.5443096322258896,0.12152868184579146,0.2453353085617533,-0.051528157145024935,50,1000,5
11,-0.02787592474502948,1.8339563240170023,0.21474019422823787,0.25708050554306977,-0.02534678905378474,50,1000,5
12,-0.05404788314938266,1.4094334243548052,0.04598809395366388,0.23975330498343533,-0.03255877822105704,50,1000,5
13,-0.0736194680560666,1.8517488947241623,0.5444957893017577,0.25886961462284297,-0.03485549778958373,50,1000,5
14,0.009776853043572667,1.8172439239825815,0.11497656738760131,0.21913826951982363,0.06309836074137826,50,1000,5
15,-0.04197947751267916,1.6906682056945823,-0.087876307105482,0.23781404823285746,-0.00500095191201497,50,1000,5
16,-0.13932211862238356,1.4745967888641263,-0.12748553321572853,0.2511544367601125,-0.03644608396334619,50,1000,5
17,-0.0439423721683228,1.6851638580814472,-0.21855906670416392,0.26121126430002456,-0.007764481722135688,50,1000,5
18,-0.069750832917657,1.7606337984403562,0.12821453006522,0.26783609941387765,-0.02782115612145288,50,1000,5
19,0.05358969661749919,2.048019140931865,-0.4345785307665002,0.24054395081116123,0.020166396685412827,50,1000,5
20,0.04488888138148944,1.602685806964253,-0.2944140237656905,0.23200167122310644,0.03714849715773852,50,1000,5
